id,title,short_title,first_name,middle_name,last_name,suffix,date_of_birth,gender,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,fec_candidate_id,url,rss_url,contact_form,in_office,cook_pvi,dw_nominate,seniority,next_election,total_votes,missed_votes,total_present,last_updated,office,phone,fax,state,district,at_large,geoid,missed_votes_pct,votes_with_party_pct,votes_against_party_pct,congress,chamber,senate_class,state_rank,lis_id,age,generation
V000131,Representative,Rep.,Marc,null,Veasey,null,1971-01-03,M,D,null,RepVeasey,CongressmanMarcVeasey,marcveasey,412579,79466,49671,21365,N00033839,/m/0kmnfw5,H2TX33073,https://veasey.house.gov,https://veasey.house.gov/rss.xml,null,true,null,-0.4,10,2022,868,8,0,2022-08-25 13:00:32 -0400,2348 Rayburn House Office Building,202-225-9897,null,TX,33,false,4833,0.92,98.25,1.63,117,house,null,null,null,51,Gen X
V000132,Representative,Rep.,Filemon,null,Vela,null,1963-02-13,M,D,,RepFilemonVela,USCongressmanFilemonVela,RepFilemonVela,412580,95434,137719,21366,N00034349,/m/0ll43fz,H2TX27190,https://vela.house.gov,null,null,false,null,-0.311,10,2022,550,34,0,2022-08-12 18:33:07 -0400,307 Cannon House Office Building,202-225-9901,null,TX,34,false,4834,6.18,97.67,2.14,117,house,null,null,null,59,Baby Boomers
V000081,Representative,Rep.,Nydia,M.,Velázquez,null,1953-03-28,F,D,null,NydiaVelazquez,8037068318,nydiavelazquez,400416,26160,26975,29378,N00001102,/m/03sjbt,H2NY00010,https://velazquez.house.gov,https://velazquez.house.gov/rss.xml,null,true,null,-0.547,30,2022,868,8,0,2022-08-25 13:00:32 -0400,2302 Rayburn House Office Building,202-225-2361,null,NY,7,false,3607,0.92,98.72,1.17,117,house,null,null,null,69,Baby Boomers
W000812,Representative,Rep.,Ann,null,Wagner,null,1962-09-13,F,R,null,RepAnnWagner,RepAnnWagner,null,412548,82702,136083,21337,N00033106,/m/07q9w8,H2MO02102,https://wagner.house.gov,https://wagner.house.gov/rss.xml,null,true,null,0.424,10,2022,868,6,0,2022-08-25 13:00:30 -0400,2350 Rayburn House Office Building,202-225-1621,null,MO,2,false,2902,0.69,96.62,3.27,117,house,null,null,null,59,Baby Boomers
W000798,Representative,Rep.,Tim,null,Walberg,null,1951-04-12,M,R,null,RepWalberg,RepWalberg,RepWalberg,412213,1022844,8618,20725,N00026368,/m/0d7n3m,H4MI07103,https://walberg.house.gov,https://walberg.house.gov/rss.xml,null,true,null,0.511,12,2022,868,6,0,2022-08-25 13:00:30 -0400,2266 Rayburn House Office Building,202-225-6276,null,MI,7,false,2607,0.69,96.85,3.03,117,house,null,null,null,71,Baby Boomers
W000813,Representative,Rep.,Jackie,null,Walorski,null,1963-08-17,F,R,,RepWalorski,RepJackieWalorski,repwalorski,412538,95005,34205,21330,N00031226,/m/0ksf92,H0IN02190,https://walorski.house.gov,null,null,false,null,0.436,10,2022,865,2,0,2022-08-23 18:39:33 -0400,466 Cannon House Office Building,202-225-3915,null,IN,2,false,1802,0.23,97.78,2.1,117,house,null,null,null,59,Baby Boomers
W000823,Representative,Rep.,Michael,null,Waltz,null,1974-01-31,M,R,null,RepMichaelWaltz,null,null,412764,null,182261,null,N00042403,/g/11f50xlkjm,H8FL06148,https://waltz.house.gov,null,null,true,null,null,4,2022,868,13,0,2022-08-25 13:00:30 -0400,213 Cannon House Office Building,202-225-2706,null,FL,6,false,1206,1.5,96.47,3.42,117,house,null,null,null,48,Gen X
W000797,Representative,Rep.,Debbie,null,Wasserman Schultz,null,1966-09-27,F,D,null,RepDWStweets,RepDWS,RepWassermanSchultz,400623,86882,24301,20504,N00026106,/m/04cmyw,H4FL20023,https://wassermanschultz.house.gov,null,null,true,null,-0.42,18,2022,868,1,0,2022-08-25 13:00:32 -0400,1114 Longworth House Office Building,202-225-7931,null,FL,23,false,1223,0.12,98.38,1.5,117,house,null,null,null,55,Gen X
W000187,Representative,Rep.,Maxine,null,Waters,null,1938-08-15,F,D,null,RepMaxineWaters,MaxineWaters,MaxineWaters,400422,1953,26759,29106,N00006690,/m/024tyk,H4CA23011,https://waters.house.gov,https://waters.house.gov/rss.xml,null,true,null,-0.656,32,2022,868,23,0,2022-08-25 13:00:30 -0400,2221 Rayburn House Office Building,202-225-2201,null,CA,43,false,0643,2.65,95.49,4.39,117,house,null,null,null,84,Silent Generation
W000822,Representative,Rep.,Bonnie,null,Watson Coleman,null,1945-02-06,F,D,null,RepBonnie,RepBonnie,null,412644,79091,24799,21538,N00036158,/m/08kj70,H4NJ12149,https://watsoncoleman.house.gov,null,null,true,null,-0.617,8,2022,868,1,0,2022-08-25 13:00:32 -0400,168 Cannon House Office Building,202-225-5801,null,NJ,12,false,3412,0.12,98.38,1.5,117,house,null,null,null,77,Baby Boomers
W000814,Representative,Rep.,Randy,null,Weber,null,1953-07-02,M,R,null,TXRandy14,TXRandy14,TXRandy14,412574,79698,102026,21360,N00033539,/m/0km63t0,H2TX14149,https://weber.house.gov,null,null,true,null,0.731,10,2022,868,30,0,2022-08-25 13:00:28 -0400,107 Cannon House Office Building,202-225-2831,null,TX,14,false,4814,3.46,86.91,12.97,117,house,null,null,null,69,Baby Boomers
W000806,Representative,Rep.,Daniel,null,Webster,null,1949-04-27,M,R,null,RepWebster,RepWebster,repdanwebster,412410,30504,24302,21116,N00026335,/m/03cg47l,H0FL08208,https://webster.house.gov,null,null,true,null,0.521,12,2022,868,73,0,2022-08-25 13:00:29 -0400,2184 Rayburn House Office Building,202-225-1002,null,FL,11,false,1211,8.41,92.92,6.95,117,house,null,null,null,73,Baby Boomers
W000800,Representative,Rep.,Peter,null,Welch,null,1947-05-02,M,D,,PeterWelch,PeterWelch,reppeterwelch,412239,1019990,51272,20750,N00000515,/m/0db4gl,H6VT00160,https://welch.house.gov,https://welch.house.gov/rss.xml,null,true,null,-0.407,16,2022,868,7,0,2022-08-25 13:00:32 -0400,2187 Rayburn House Office Building,202-225-4115,null,VT,At-Large,true,5000,0.81,98.6,1.28,117,house,null,null,null,75,Baby Boomers
W000815,Representative,Rep.,Brad,null,Wenstrup,null,1958-06-17,M,R,null,RepBradWenstrup,RepBradWenstrup,repbradwenstrup,412564,1034044,135326,21351,N00033310,/m/0j63b7n,H2OH02085,https://wenstrup.house.gov,null,null,true,null,0.534,10,2022,868,7,0,2022-08-25 13:00:30 -0400,2419 Rayburn House Office Building,202-225-3164,null,OH,2,false,3902,0.81,97.08,2.8,117,house,null,null,null,64,Baby Boomers
W000821,Representative,Rep.,Bruce,null,Westerman,null,1967-11-18,M,R,null,RepWesterman,RepWesterman,null,412610,76097,119120,21563,N00035527,/m/0wklff5,H4AR04048,https://westerman.house.gov,https://westerman.house.gov/rss.xml,null,true,null,0.549,8,2022,868,15,0,2022-08-25 13:00:30 -0400,202 Cannon House Office Building,202-225-3772,null,AR,4,false,0504,1.73,96.93,2.95,117,house,null,null,null,54,Gen X
W000825,Representative,Rep.,Jennifer,null,Wexton,null,1968-05-27,F,D,null,RepWexton,null,null,412834,null,147013,null,N00041002,/m/0_flt0x,H8VA10106,https://wexton.house.gov,null,null,true,null,null,4,2022,868,0,0,2022-08-25 13:00:31 -0400,1217 Longworth House Office Building,202-225-5136,null,VA,10,false,5110,0,97.23,2.66,117,house,null,null,null,54,Gen X
W000826,Representative,Rep.,Susan,null,Wild,null,1957-06-07,F,D,null,RepSusanWild,null,null,412751,null,178895,null,N00041997,/g/11gtg86jn6,H8PA15229,https://wild.house.gov,null,null,true,null,null,6,2022,868,6,0,2022-08-25 13:00:31 -0400,1027 Longworth House Office Building,202-225-6411,null,PA,7,false,4207,0.69,97.09,2.79,117,house,null,null,null,65,Baby Boomers
W000816,Representative,Rep.,Roger,null,Williams,null,1949-09-13,M,R,null,RepRWilliams,RepRogerWilliams,null,412578,623742,50112,21364,N00030602,/m/08rszb,H2TX33040,https://williams.house.gov,https://williams.house.gov/rss.xml,null,true,null,0.586,10,2022,868,47,0,2022-08-25 13:00:30 -0400,1708 Longworth House Office Building,202-225-9896,null,TX,25,false,4825,5.41,95.96,3.92,117,house,null,null,null,72,Baby Boomers
W000788,Representative,Rep.,Nikema,null,Williams,null,1978-07-30,F,D,null,RepNikema,null,null,456811,null,null,null,N00047361,/g/11fctqx0jy,H0GA05301,https://nikemawilliams.house.gov,null,null,true,null,null,2,2022,868,1,0,2022-08-25 13:00:33 -0400,1406 Longworth House Office Building,202-225-3801,null,GA,5,false,1305,0.12,98.84,1.04,117,house,null,null,null,44,Millennials
W000795,Representative,Rep.,Joe,null,Wilson,null,1947-07-31,M,R,null,RepJoeWilson,JoeWilson,RepJoeWilson,400433,1002567,3985,20138,N00024809,/m/03tll0,H2SC02059,https://joewilson.house.gov,https://joewilson.house.gov/rss.xml,null,true,null,0.531,22,2022,868,28,0,2022-08-25 13:00:30 -0400,1436 Longworth House Office Building,202-225-2452,null,SC,2,false,4502,3.23,96.64,3.24,117,house,null,null,null,75,Baby Boomers
W000808,Representative,Rep.,Frederica,null,Wilson,null,1942-11-05,F,D,null,RepWilson,RepWilson,repfredericawilson,412412,87016,17319,21118,N00030650,/m/03cg3tv,H0FL17068,https://wilson.house.gov,https://wilson.house.gov/rss.xml,null,true,null,-0.479,12,2022,868,9,0,2022-08-25 13:00:32 -0400,2445 Rayburn House Office Building,202-225-4506,null,FL,24,false,1224,1.04,98.6,1.28,117,house,null,null,null,79,Silent Generation
W000804,Representative,Rep.,Robert,J.,Wittman,null,1959-02-03,M,R,null,RobWittman,RepRobWittman,RobWittman,412255,1028089,58133,20756,N00029459,/m/03cx7ld,H8VA01147,https://wittman.house.gov,null,null,true,null,0.445,16,2022,868,44,0,2022-08-25 13:00:31 -0400,2055 Rayburn House Office Building,202-225-4261,null,VA,1,false,5101,5.07,97.8,2.08,117,house,null,null,null,63,Baby Boomers
W000809,Representative,Rep.,Steve,null,Womack,null,1957-02-18,M,R,null,Rep_SteveWomack,RepSteveWomack,CongressmanWomack,412402,1033625,71815,21108,N00031857,/m/0cmcvkz,H0AR03055,https://womack.house.gov,https://womack.house.gov/news/rss.aspx,null,true,null,0.356,12,2022,868,0,0,2022-08-25 13:00:30 -0400,2412 Rayburn House Office Building,202-225-4301,null,AR,3,false,0503,0,95.94,3.94,117,house,null,null,null,65,Baby Boomers
W000827,Representative,Rep.,Ron,null,Wright,null,1953-04-08,M,R,,RepRonWright,null,null,412823,null,78666,null,N00042240,/g/11fgkl82tl,H8TX06233,https://wright.house.gov,null,null,false,null,null,4,2022,31,15,0,2022-08-12 18:33:07 -0400,1725 Longworth House Office Building,202-225-2002,null,TX,6,false,4806,48.39,93.33,0,117,house,null,null,null,69,Baby Boomers
Y000062,Representative,Rep.,John,null,Yarmuth,null,1947-11-04,M,D,,RepJohnYarmuth,214258646163,RepJohnYarmuth,412211,1021662,58579,20723,N00028073,/m/0bb00g,H6KY03124,https://yarmuth.house.gov,https://yarmuth.house.gov/rss.xml,null,true,null,-0.378,16,2022,868,94,0,2022-08-25 13:00:33 -0400,402 Cannon House Office Building,202-225-5401,null,KY,3,false,2103,10.83,98.97,0.91,117,house,null,null,null,74,Baby Boomers
Y000033,Representative,Rep.,Don,null,Young,null,1933-06-09,M,R,,RepDonYoung,RepDonYoung,RepDonYoung,400440,1897,26717,14066,N00007999,/m/024p1k,H6AK00045,https://donyoung.house.gov,https://donyoung.house.gov/news/rss.aspx,null,false,null,0.283,50,2022,530,43,0,2022-08-12 18:33:07 -0400,2314 Rayburn House Office Building,202-225-5765,null,AK,At-Large,true,0200,8.11,87.97,11.83,117,house,null,null,null,89,Silent Generation
Z000017,Representative,Rep.,Lee,null,Zeldin,null,1980-01-30,M,R,,RepLeeZeldin,RepLeeZeldin,null,412646,61616,110252,21539,N00029404,/m/03h4jcq,H8NY01148,https://zeldin.house.gov,https://zeldin.house.gov/rss.xml,null,true,null,0.397,8,2022,868,79,0,2022-08-25 13:00:30 -0400,2441 Rayburn House Office Building,202-225-3826,null,NY,1,false,3601,9.1,95.8,4.08,117,house,null,null,null,42,Millennials
B001230,"Senator, 1st Class",Sen.,Tammy,null,Baldwin,null,1962-02-11,F,D,Senate Democratic Caucus Secretary,SenatorBaldwin,senatortammybaldwin,witammybaldwin,400013,57884,3470,29940,N00004367,/m/024v02,H8WI00018,https://www.baldwin.senate.gov,null,https://www.baldwin.senate.gov/feedback,true,null,-0.493,9,2024,853,1,0,2022-08-08 09:47:43 -0400,709 Hart Senate Office Building,202-224-5653,null,WI,null,null,null,0.12,98.94,1.06,117,senate,1,junior,S354,60,Baby Boomers
B001261,"Senator, 1st Class",Sen.,John,null,Barrasso,null,1952-07-21,M,R,Senate Republican Conference Chair,SenJohnBarrasso,johnbarrasso,barrassowyo,412251,1024777,52662,40707,N00006236,/m/02rsm32,S6WY00068,https://www.barrasso.senate.gov,https://www.barrasso.senate.gov/public/?a=rss.feed,https://www.barrasso.senate.gov/public/index.cfm/contact-form,true,null,0.537,15,2024,853,56,0,2022-08-23 18:39:44 -0400,307 Dirksen Senate Office Building,202-224-6441,null,WY,null,null,null,6.57,95.26,4.74,117,senate,1,senior,S317,70,Baby Boomers
B001267,"Senator, 3rd Class",Sen.,Michael,null,Bennet,null,1964-11-28,M,D,null,SenBennetCo,senbennetco,SenatorBennet,412330,1031622,110942,40910,N00030608,/m/05b60qf,S0CO00211,https://www.bennet.senate.gov/public,null,https://www.bennet.senate.gov/public/index.cfm/contact,true,null,-0.229,13,2022,853,19,0,2022-08-08 09:47:42 -0400,261 Russell Senate Office Building,202-224-5852,202-228-5097,CO,null,null,null,2.23,99.04,0.96,117,senate,3,senior,S330,57,Baby Boomers
B001243,"Senator, 1st Class",Sen.,Marsha,null,Blackburn,null,1952-06-06,F,R,null,MarshaBlackburn,marshablackburn,RepMarshaBlackburn,400032,31226,25186,20351,N00003105,/m/01fnkt,H2TN06030,https://www.blackburn.senate.gov,null,https://www.blackburn.senate.gov/email-me,true,null,0.627,3,2024,853,53,0,2022-08-08 09:47:57 -0400,357 Dirksen Senate Office Building,202-224-3344,null,TN,null,null,null,6.21,92.23,7.77,117,senate,1,senior,S396,70,Baby Boomers
B001277,"Senator, 3rd Class",Sen.,Richard,null,Blumenthal,null,1946-02-13,M,D,null,SenBlumenthal,SenBlumenthal,SenatorBlumenthal,412490,21799,1568,41101,N00031685,/m/03tg8m,S0CT00177,https://www.blumenthal.senate.gov,https://www.blumenthal.senate.gov/rss/feeds/?type=press,https://www.blumenthal.senate.gov/contact/,true,null,-0.436,11,2022,853,14,0,2022-08-08 09:47:44 -0400,706 Hart Senate Office Building,202-224-2823,202-224-9673,CT,null,null,null,1.64,98.93,1.07,117,senate,3,senior,S341,76,Baby Boomers
B000575,"Senator, 3rd Class",Sen.,Roy,null,Blunt,null,1950-01-10,M,R,,RoyBlunt,SenatorBlunt,SenatorBlunt,400034,45465,418,29735,N00005195,/m/034fn4,H6MO07128,https://www.blunt.senate.gov,null,https://www.blunt.senate.gov/public/index.cfm/contact-roy,true,null,0.402,11,2022,853,73,0,2022-08-23 18:39:42 -0400,260 Russell Senate Office Building,202-224-5721,202-224-8149,MO,null,null,null,8.56,79.95,20.05,117,senate,3,senior,S342,72,Baby Boomers
B001288,"Senator, 2nd Class",Sen.,Cory,null,Booker,null,1969-04-27,M,D,null,SenBooker,null,SenCoryBooker,412598,84679,76151,41308,N00035267,/m/06p430,S4NJ00185,https://www.booker.senate.gov,null,https://www.booker.senate.gov/?p=contact,true,null,-0.585,9,2026,853,23,0,2022-08-23 18:39:43 -0400,717 Hart Senate Office Building,202-224-3224,null,NJ,null,null,null,2.7,98.67,1.33,117,senate,2,junior,S370,53,Gen X
B001236,"Senator, 3rd Class",Sen.,John,null,Boozman,null,1950-12-10,M,R,null,JohnBoozman,JohnBoozman,BoozmanPressOffice,400040,92069,27958,20101,N00013873,/m/024s3v,H2AR03176,https://www.boozman.senate.gov/public,https://www.boozman.senate.gov/public/?a=RSS.Feed,https://www.boozman.senate.gov/public/index.cfm/contact,true,null,0.426,11,2022,853,6,0,2022-08-08 09:47:51 -0400,141 Hart Senate Office Building,202-224-4843,202-228-1371,AR,null,null,null,0.7,94.94,5.06,117,senate,3,senior,S343,71,Baby Boomers
B001310,"Senator, 1st Class",Sen.,Mike,null,Braun,null,1954-03-24,M,R,null,SenatorBraun,null,null,412839,null,148564,null,N00041731,/g/11f2ckdwty,S8IN00171,https://www.braun.senate.gov,null,http://www.braun.senate.gov/contact-mike,true,null,null,1,2024,853,22,0,2022-08-08 09:47:59 -0400,374 Russell Senate Office Building,202-224-4814,null,IN,null,null,null,2.58,90.97,9.03,117,senate,1,junior,S397,68,Baby Boomers
B000944,"Senator, 1st Class",Sen.,Sherrod,null,Brown,null,1952-11-09,M,D,null,SenSherrodBrown,SenatorSherrodBrown,SherrodBrownOhio,400050,5051,27018,29389,N00003535,/m/034s80,H2OH13033,https://www.brown.senate.gov,null,http://www.brown.senate.gov/contact/,true,null,-0.428,15,2024,853,7,0,2022-08-08 09:47:39 -0400,503 Hart Senate Office Building,202-224-2315,null,OH,null,null,null,0.82,99.53,0.47,117,senate,1,senior,S307,69,Baby Boomers
B001135,"Senator, 3rd Class",Sen.,Richard,M.,Burr,null,1955-11-30,M,R,null,SenatorBurr,SenatorRichardBurr,SenatorRichardBurr,400054,31054,21787,29548,N00002221,/m/03g_s9,S4NC00089,https://www.burr.senate.gov,null,https://www.burr.senate.gov/contact/email,true,null,0.436,17,2022,853,88,2,2022-08-08 09:47:39 -0400,217 Russell Senate Office Building,202-224-3154,202-228-2981,NC,null,null,null,10.32,81.52,18.48,117,senate,3,senior,S300,66,Baby Boomers
C000127,"Senator, 1st Class",Sen.,Maria,null,Cantwell,null,1958-10-13,F,D,null,SenatorCantwell,senatorcantwell,SenatorCantwell,300018,26137,27122,39310,N00007836,/m/01x68t,S8WA00194,https://www.cantwell.senate.gov,null,http://www.cantwell.senate.gov/public/index.cfm/email-maria,true,null,-0.305,21,2024,853,10,0,2022-08-08 09:47:39 -0400,511 Hart Senate Office Building,202-224-3441,null,WA,null,null,null,1.17,99.88,0.12,117,senate,1,junior,S275,63,Baby Boomers
C001047,"Senator, 2nd Class",Sen.,Shelley,Moore,Capito,null,1953-11-26,F,R,null,SenCapito,senshelley,null,400061,83737,11701,20146,N00009771,/m/024pwq,H0WV02138,https://www.capito.senate.gov,null,https://www.capito.senate.gov/contact/contact-shelley,true,null,0.274,7,2026,853,29,0,2022-08-08 09:47:51 -0400,172 Russell Senate Office Building,202-224-6472,null,WV,null,null,null,3.4,79.31,20.69,117,senate,2,junior,S372,68,Baby Boomers
C000141,"Senator, 1st Class",Sen.,Benjamin,L.,Cardin,null,1943-10-05,M,D,null,SenatorCardin,senatorbencardin,senatorcardin,400064,4004,26888,15408,N00001955,/m/025k3k,H6MD03177,https://www.cardin.senate.gov,null,http://www.cardin.senate.gov/contact/,true,null,-0.319,15,2024,853,7,0,2022-08-08 09:47:39 -0400,509 Hart Senate Office Building,202-224-4524,null,MD,null,null,null,0.82,99.29,0.71,117,senate,1,senior,S308,78,Silent Generation
C000174,"Senator, 1st Class",Sen.,Thomas,R.,Carper,null,1947-01-23,M,D,null,SenatorCarper,tomcarper,senatorcarper,300019,663,22421,15015,N00012508,/m/01xw7t,S8DE00079,https://www.carper.senate.gov/public,https://www.carper.senate.gov/public/?a=RSS.Feed,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,true,null,-0.177,21,2024,853,1,0,2022-08-08 09:47:39 -0400,513 Hart Senate Office Building,202-224-2441,null,DE,null,null,null,0.12,98.82,1.18,117,senate,1,senior,S277,75,Baby Boomers
C001070,"Senator, 1st Class",Sen.,Bob,null,Casey,null,1960-04-13,M,D,null,SenBobCasey,SenatorBobCasey,SenatorBobCasey,412246,47036,2541,40703,N00027503,/m/047ymw,S6PA00217,https://www.casey.senate.gov,null,https://www.casey.senate.gov/contact/,true,null,-0.314,15,2024,853,13,0,2022-08-08 09:47:40 -0400,393 Russell Senate Office Building,202-224-6324,null,PA,null,null,null,1.52,99.4,0.6,117,senate,1,senior,S309,62,Baby Boomers
C001075,"Senator, 2nd Class",Sen.,Bill,null,Cassidy,null,1957-09-28,M,R,null,null,null,SenatorBillCassidy,412269,1030546,69494,20919,N00030245,/m/0286t7r,H8LA00017,https://www.cassidy.senate.gov,null,https://www.cassidy.senate.gov/contact,true,null,0.465,7,2026,853,24,0,2022-08-23 18:39:42 -0400,520 Hart Senate Office Building,202-224-5824,null,LA,null,null,null,2.81,88.1,11.9,117,senate,2,senior,S373,64,Baby Boomers
C001035,"Senator, 2nd Class",Sen.,Susan,null,Collins,null,1952-12-07,F,R,null,SenatorCollins,susancollins,SenatorSusanCollins,300025,45738,379,49703,N00000491,/m/020y8m,S6ME00159,https://www.collins.senate.gov,https://www.collins.senate.gov/?q=rss.xml,http://www.collins.senate.gov/contact,true,null,0.116,25,2026,853,0,0,2022-08-23 18:39:42 -0400,413 Dirksen Senate Office Building,202-224-2523,null,ME,null,null,null,0,50.06,49.94,117,senate,2,senior,S252,69,Baby Boomers
C001088,"Senator, 2nd Class",Sen.,Christopher,A.,Coons,null,1963-09-09,M,D,null,ChrisCoons,senatorchriscoons,senatorchriscoons,412390,9269028,122834,40916,N00031820,/m/082d3d,S0DE00092,https://www.coons.senate.gov,null,https://www.coons.senate.gov/contact,true,null,-0.23,13,2026,853,6,0,2022-08-08 09:47:42 -0400,218 Russell Senate Office Building,202-224-5042,null,DE,null,null,null,0.7,99.41,0.59,117,senate,2,junior,S337,58,Baby Boomers
C001056,"Senator, 2nd Class",Sen.,John,null,Cornyn,null,1952-02-02,M,R,Senate Majority Whip,JohnCornyn,sen.johncornyn,senjohncornyn,300027,93131,15375,40305,N00024852,/m/01xcqs,S2TX00106,https://www.cornyn.senate.gov,null,https://www.cornyn.senate.gov/contact,true,null,0.474,19,2026,853,59,0,2022-08-08 09:47:51 -0400,517 Hart Senate Office Building,202-224-2934,null,TX,null,null,null,6.92,85.46,14.54,117,senate,2,senior,S287,70,Baby Boomers
C001113,"Senator, 3rd Class",Sen.,Catherine,null,Cortez Masto,null,1964-03-29,F,D,null,sencortezmasto,SenatorCortezMasto,null,412681,105698,69579,41700,N00037161,/m/02rtp9t,S6NV00200,https://www.cortezmasto.senate.gov,null,https://www.cortezmasto.senate.gov/contact,true,null,-0.363,1,2022,853,5,0,2022-08-23 18:39:43 -0400,516 Hart Senate Office Building,202-224-3542,null,NV,null,null,null,0.59,98.23,1.77,117,senate,3,senior,S385,58,Baby Boomers
C001095,"Senator, 2nd Class",Sen.,Tom,null,Cotton,null,1977-05-13,M,R,null,SenTomCotton,SenatorTomCotton,RepTomCotton,412508,63928,135651,21301,N00033363,/m/02g3ds,H2AR04083,https://www.cotton.senate.gov,null,https://www.cotton.senate.gov/contact/contact-tom,true,null,0.613,7,2026,853,15,0,2022-08-08 09:47:52 -0400,326 Russell Senate Office Building,202-224-2353,null,AR,null,null,null,1.76,91.91,8.09,117,senate,2,junior,S374,45,Millennials
