id,first_name,middle_name,last_name,party,state,district,end_date,status,note
P000523,David,E.,Price,D,NC,4,2023-01-03,Retiring,"Announced retirement on Oct. 18, 2021."
D000482,Mike,null,Doyle,D,PA,18,2023-01-03,Retiring,"Announced retirement on Oct. 18, 2021."
Y000062,John,null,Yarmuth,D,KY,3,2023-01-03,Retiring,"Announced retirement on Oct. 12, 2021."
B001270,Karen,null,Bass,D,CA,37,2023-01-03,Seeking another office,"Announced run for Los Angeles mayor on Sept. 27, 2021."
G000588,Anthony,null,Gonzalez,R,OH,16,2023-01-03,Retiring,"Announced retirement on Sept. 16, 2021."
K000188,Ron,null,Kind,D,WI,3,2023-01-03,Retiring,"Announced retirement on Aug. 10, 2021."
L000576,Billy,null,Long,R,MO,7,2023-01-03,Seeking another office,"Announced run for Senate on Aug. 10, 2021."
L000588,Conor,null,Lamb,D,PA,17,2023-01-03,Seeking another office,"Announced run for Senate on Aug. 6, 2021."
H001053,Vicky,null,Hartzler,R,MO,4,2023-01-03,Seeking another office,"Announced run for Senate on June 10, 2021."
D000627,Val,null,Demings,D,FL,10,2023-01-03,Seeking another office,"Announced run for Senate on June 9, 2021."
S001187,Steve,null,Stivers,R,OH,15,2021-05-16,Left Congress,"Resigned from Congress effective May 16, 2021."
C001111,Charlie,null,Crist,D,FL,13,2023-01-03,Seeking another office,"Announced run for governor on May 4, 2021."
B001286,Cheri,null,Bustos,D,IL,17,2023-01-03,Retiring,"Announced retirement on April 30, 2021."
B001305,Ted,null,Budd,R,NC,13,2023-01-03,Seeking another office,"Announced run for Senate on April 28, 2021."
R000577,Tim,null,Ryan,D,OH,13,2023-01-03,Seeking another office,"Announced run for Senate on April 26, 2021."
P000593,Ed,null,Perlmutter,D,CO,7,2023-01-03,Retiring,"Announced retirement on Jan. 10, 2022."
L000581,Brenda,null,Lawrence,D,MI,14,2023-01-03,Retiring,"Announced retirement on Jan. 4, 2022."
R000515,Bobby,L.,Rush,D,IL,1,2023-01-03,Retiring,"Announced retirement on Jan. 3, 2022."
N000181,Devin,null,Nunes,R,CA,22,2022-01-03,Left Congress,"Resigned on Jan. 3, 2022."
S001165,Albio,null,Sires,D,NJ,8,2023-01-03,Retiring,"Announced retirement on Dec. 21, 2021."
R000486,Lucille,null,Roybal-Allard,D,CA,40,2023-01-03,Retiring,"Announced retirement on Dec. 20, 2021."
M001202,Stephanie,null,Murphy,D,FL,7,2023-01-03,Retiring,"Announced retirement on Dec. 20, 2021."
L000579,Alan,null,Lowenthal,D,CA,47,2023-01-03,Retiring,"Announced retirement on Dec. 16, 2021."
D000191,Peter,A.,DeFazio,D,OR,4,2023-01-03,Retiring,"Announced retirement on Dec. 1, 2021."
S001201,Thomas,null,Suozzi,D,NY,3,2023-01-03,Seeking another office,"Announced run for governor on Nov. 29, 2021."
W000800,Peter,null,Welch,D,VT,At-Large,2023-01-03,Seeking another office,"Announced run for Senate on Nov. 22, 2021."
G000552,Louie,null,Gohmert,R,TX,1,2023-01-03,Seeking another office,"Announced run for Texas Attorney General on Nov. 22, 2021."
J000126,Eddie,Bernice,Johnson,D,TX,30,2023-01-03,Retiring,"Announced retirement on Nov. 20, 2021."
B001251,G.,K.,Butterfield,D,NC,1,2023-01-03,Retiring,"Announced retirement on Nov. 18, 2021."
S001175,Jackie,null,Speier,D,CA,14,2023-01-03,Retiring,"Announced retirement on Nov. 16, 2021."
K000378,Adam,null,Kinzinger,R,IL,16,2023-01-03,Retiring,"Announced retirement on Oct. 29, 2021."
