name,code,side,title,rank_in_party,begin_date,end_date,memberId,congress
Committee on Foreign Affairs,HSFA,majority,Member,9.0,,2019-01-03,I000056,115
Committee on Oversight and Reform,HSGO,majority,Member,3.0,,2019-01-03,I000056,115
Committee on the Judiciary,HSJU,majority,Member,5.0,,2019-01-03,I000056,115
Committee on Foreign Affairs,HSFA,null,null,10.0,,2017-01-03,I000056,114
Committee on the Judiciary,HSJU,null,null,5.0,,2017-01-03,I000056,114
Committee on the Judiciary,HSJU,null,null,7.0,2013-01-04,2015-01-03,I000056,113
Committee on Oversight and Reform,HSGO,null,null,1.0,2013-01-03,2015-01-03,I000056,113
Committee on the Judiciary,HSJU,null,null,8.0,2011-01-18,2013-01-03,I000056,112
Committee on Oversight and Reform,HSGO,null,null,1.0,2011-01-05,2013-01-03,I000056,112
Committee on the Judiciary,HSJU,null,null,7.0,2009-01-09,2011-01-03,I000056,111
Committee on Oversight and Reform,HSGO,null,null,1.0,2009-01-06,2011-01-03,I000056,111
Permanent Select Committee on Intelligence,HSIG,null,null,9.0,2007-01-17,2009-01-03,I000056,110
Committee on Oversight and Reform,HSGO,null,null,11.0,2007-01-10,2009-01-03,I000056,110
Committee on the Judiciary,HSJU,null,null,10.0,2007-01-10,2009-01-03,I000056,110
Committee on Armed Services,HSAS,minority,Member,25.0,,2023-01-03,J000304,117
Committee on Foreign Affairs,HSFA,minority,Member,22.0,,2023-01-03,J000304,117
Committee on Homeland Security,HSHM,majority,Member,2.0,,2023-01-03,J000032,117
Committee on the Budget,HSBU,majority,Member,16.0,,2023-01-03,J000032,117
Committee on the Judiciary,HSJU,majority,Member,3.0,,2023-01-03,J000032,117
Committee on the Budget,HSBU,majority,Member,16.0,2019-01-24,2021-01-03,J000032,116
Committee on Homeland Security,HSHM,majority,Member,2.0,2019-01-23,2021-01-03,J000032,116
Committee on the Judiciary,HSJU,majority,Member,3.0,2019-01-16,2021-01-03,J000032,116
Committee on the Budget,HSBU,minority,Member,13.0,,2019-01-03,J000032,115
Committee on Homeland Security,HSHM,minority,Member,2.0,,2019-01-03,J000032,115
Committee on the Judiciary,HSJU,minority,Member,3.0,,2019-01-03,J000032,115
Committee on Homeland Security,HSHM,null,null,3.0,,2017-01-03,J000032,114
Committee on the Judiciary,HSJU,null,null,4.0,,2017-01-03,J000032,114
Committee on Homeland Security,HSHM,null,null,3.0,2013-01-03,2015-01-03,J000032,113
Committee on the Judiciary,HSJU,null,null,5.0,2013-01-03,2015-01-03,J000032,113
Committee on Homeland Security,HSHM,null,null,3.0,2011-01-19,2013-01-03,J000032,112
Committee on the Judiciary,HSJU,null,null,7.0,2011-01-19,2013-01-03,J000032,112
Committee on Homeland Security,HSHM,null,null,7.0,2009-01-28,2011-01-03,J000032,111
Committee on Foreign Affairs,HSFA,null,null,18.0,2009-01-21,2011-01-03,J000032,111
Committee on the Judiciary,HSJU,null,null,8.0,2009-01-21,2011-01-03,J000032,111
Committee on the Judiciary,HSJU,null,null,8.0,2007-01-18,2009-01-03,J000032,110
Committee on Foreign Affairs,HSFA,null,null,16.0,2007-01-12,2009-01-03,J000032,110
Committee on Homeland Security,HSHM,null,null,10.0,2007-01-12,2009-01-03,J000032,110
Committee on Armed Services,HSAS,majority,Member,25.0,,2023-01-03,J000305,117
Committee on Foreign Affairs,HSFA,majority,Member,22.0,,2023-01-03,J000305,117
Committee on Agriculture,HSAG,minority,Member,15.0,,2023-01-03,J000020,117
Committee on the Budget,HSBU,minority,Member,6.0,,2023-01-03,J000020,117
Committee on the Budget,HSBU,majority,Member,21.0,,2023-01-03,J000298,117
Committee on Education and Labor,HSED,majority,Member,11.0,,2023-01-03,J000298,117
Committee on the Judiciary,HSJU,majority,Member,13.0,,2023-01-03,J000298,117
Committee on the Budget,HSBU,majority,Member,18.0,2019-01-24,2021-01-03,J000298,116
Committee on the Judiciary,HSJU,majority,Member,14.0,2019-01-16,2021-01-03,J000298,116
Committee on Education and Labor,HSED,majority,Member,13.0,2019-01-15,2021-01-03,J000298,116
Committee on the Budget,HSBU,minority,Member,11.0,,2019-01-03,J000298,115
Committee on the Judiciary,HSJU,minority,Member,15.0,,2019-01-03,J000298,115
Committee on the Budget,HSBU,majority,Member,2.0,,2023-01-03,J000294,117
Committee on the Judiciary,HSJU,majority,Member,8.0,,2023-01-03,J000294,117
Committee on the Budget,HSBU,majority,Member,3.0,2019-01-24,2021-01-03,J000294,116
Committee on the Judiciary,HSJU,majority,Member,9.0,2019-01-16,2021-01-03,J000294,116
Committee on the Budget,HSBU,minority,Member,5.0,,2019-01-03,J000294,115
Committee on the Judiciary,HSJU,minority,Member,10.0,,2019-01-03,J000294,115
Committee on Education and Labor,HSED,null,null,13.0,,2017-01-03,J000294,114
Committee on the Judiciary,HSJU,null,null,14.0,,2017-01-03,J000294,114
Committee on the Budget,HSBU,null,null,9.0,2013-01-14,2015-01-03,J000294,113
Committee on the Judiciary,HSJU,null,null,16.0,2013-01-03,2015-01-03,J000294,113
Committee on Oversight and Reform,HSGO,majority,Member,17.0,,2023-01-03,J000288,117
Committee on Transportation and Infrastructure,HSPW,majority,Member,9.0,,2023-01-03,J000288,117
Committee on the Judiciary,HSJU,majority,Member,5.0,,2023-01-03,J000288,117
Committee on the Judiciary,HSJU,majority,Member,5.0,2019-01-16,2021-01-03,J000288,116
Committee on Transportation and Infrastructure,HSPW,majority,Member,11.0,2017-01-17,2021-01-03,J000288,116
Committee on the Judiciary,HSJU,minority,Member,5.0,,2019-01-03,J000288,115
Committee on Transportation and Infrastructure,HSPW,minority,Member,12.0,,2019-01-03,J000288,115
Committee on Armed Services,HSAS,null,null,12.0,,2017-01-03,J000288,114
Committee on the Judiciary,HSJU,null,null,6.0,,2017-01-03,J000288,114
Committee on the Judiciary,HSJU,null,null,7.0,2013-01-03,2015-01-03,J000288,113
Committee on Armed Services,HSAS,null,null,14.0,2013-01-03,2015-01-03,J000288,113
Committee on Armed Services,HSAS,null,null,24.0,2011-01-19,2013-01-03,J000288,112
Committee on the Judiciary,HSJU,null,null,10.0,2011-01-19,2013-01-03,J000288,112
Committee on Transportation and Infrastructure,HSPW,null,null,45.0,2010-05-06,2011-01-04,J000288,111
Committee on Armed Services,HSAS,null,null,40.0,2010-05-06,2011-01-04,J000288,111
Committee on the Judiciary,HSJU,null,null,13.0,2009-01-21,2011-01-03,J000288,111
Committee on Armed Services,HSAS,null,null,21.0,2009-01-07,2011-01-03,J000288,111
Committee on Small Business,HSSM,null,null,17.0,2007-01-23,2009-01-03,J000288,110
Committee on the Judiciary,HSJU,null,null,15.0,2007-01-18,2009-01-03,J000288,110
Committee on Armed Services,HSAS,null,null,24.0,2007-01-10,2009-01-03,J000288,110
"Committee on Science, Space, and Technology",HSSY,majority,Chair,1.0,,2023-01-03,J000126,117
Committee on Transportation and Infrastructure,HSPW,majority,Member,3.0,,2023-01-03,J000126,117
"Committee on Science, Space, and Technology",HSSY,majority,Chair,1.0,2019-01-04,2021-01-03,J000126,116
Committee on Transportation and Infrastructure,HSPW,majority,Member,3.0,2017-01-17,2021-01-03,J000126,116
Committee on Transportation and Infrastructure,HSPW,minority,Member,3.0,,2019-01-03,J000126,115
"Committee on Science, Space, and Technology",HSSY,minority,Ranking Member,1.0,,2019-01-03,J000126,115
Committee on Transportation and Infrastructure,HSPW,null,null,5.0,,2017-01-03,J000126,114
"Committee on Science, Space, and Technology",HSSY,null,null,1.0,,2017-01-03,J000126,114
"Committee on Science, Space, and Technology",HSSY,null,null,1.0,2013-01-03,2015-01-03,J000126,113
Committee on Transportation and Infrastructure,HSPW,null,null,6.0,2013-01-03,2015-01-03,J000126,113
Committee on Transportation and Infrastructure,HSPW,null,null,8.0,2011-01-19,2013-01-03,J000126,112
"Committee on Science, Space, and Technology",HSSY,null,null,1.0,2011-01-05,2013-01-03,J000126,112
"Committee on Science, Space, and Technology",HSSY,null,null,3.0,2009-01-21,2011-01-03,J000126,111
Committee on Transportation and Infrastructure,HSPW,null,null,9.0,2009-01-07,2011-01-03,J000126,111
"Committee on Science, Space, and Technology",HSSY,null,null,3.0,2007-01-18,2009-01-03,J000126,110
Committee on Transportation and Infrastructure,HSPW,null,null,9.0,2007-01-10,2009-01-03,J000126,110
Committee on the Judiciary,HSJU,minority,Member,7.0,,2023-01-03,J000299,117
Committee on Armed Services,HSAS,minority,Member,20.0,,2023-01-03,J000299,117
Committee on Natural Resources,HSII,minority,Member,15.0,2019-01-24,2021-01-03,J000299,116
Committee on the Judiciary,HSJU,minority,Member,10.0,2019-01-23,2021-01-03,J000299,116
Committee on Natural Resources,HSII,majority,Member,22.0,,2019-01-03,J000299,115
Committee on the Judiciary,HSJU,majority,Member,20.0,,2019-01-03,J000299,115
Committee on Agriculture,HSAG,minority,Member,12.0,,2023-01-03,J000301,117
Committee on Transportation and Infrastructure,HSPW,minority,Member,24.0,,2023-01-03,J000301,117
Committee on Education and Labor,HSED,minority,Member,19.0,2019-01-23,2021-01-03,J000301,116
Committee on Agriculture,HSAG,minority,Member,19.0,2019-01-23,2021-01-03,J000301,116
Committee on Energy and Commerce,HSIF,minority,Member,11.0,,2023-01-03,J000292,117
Committee on the Budget,HSBU,minority,Member,3.0,2019-01-24,2021-01-03,J000292,116
Committee on Energy and Commerce,HSIF,minority,Member,14.0,2019-01-23,2021-01-03,J000292,116
Committee on the Budget,HSBU,majority,Member,14.0,,2019-01-03,J000292,115
Committee on Energy and Commerce,HSIF,majority,Member,18.0,,2019-01-03,J000292,115
Committee on the Budget,HSBU,null,null,22.0,,2017-01-03,J000292,114
Committee on Energy and Commerce,HSIF,null,null,22.0,,2017-01-03,J000292,114
"Committee on Science, Space, and Technology",HSSY,null,null,23.0,2014-04-08,2015-01-03,J000292,113
Committee on Energy and Commerce,HSIF,null,null,28.0,2013-01-04,2015-01-03,J000292,113
Committee on Foreign Affairs,HSFA,null,null,18.0,2011-01-18,2013-01-03,J000292,112
Committee on Natural Resources,HSII,null,null,26.0,2011-01-18,2013-01-03,J000292,112
Committee on Veterans' Affairs,HSVR,null,null,8.0,2011-01-18,2013-01-03,J000292,112
Committee on Ethics,HSSO,majority,Member,5.0,,2023-01-03,J000306,117
Committee on Education and Labor,HSED,majority,Member,20.0,,2023-01-03,J000306,117
Committee on the Judiciary,HSJU,majority,Member,23.0,,2023-01-03,J000306,117
Committee on Oversight and Reform,HSGO,minority,Member,2.0,,2023-01-03,J000289,117
Committee on the Judiciary,HSJU,minority,Ranking Member,1.0,,2023-01-03,J000289,117
Permanent Select Committee on Intelligence,HSIG,minority,Member,6.0,2019-11-08,2019-12-19,J000289,116
Committee on the Judiciary,HSJU,minority,Ranking Member,1.0,2019-01-23,2021-01-03,J000289,116
Committee on Oversight and Reform,HSGO,minority,Member,2.0,2019-01-04,2021-01-03,J000289,116
Committee on Oversight and Reform,HSGO,majority,Member,4.0,,2019-01-03,J000289,115
Committee on the Judiciary,HSJU,majority,Member,8.0,,2019-01-03,J000289,115
Committee on Oversight and Reform,HSGO,null,null,5.0,,2017-01-03,J000289,114
Committee on the Judiciary,HSJU,null,null,10.0,,2017-01-03,J000289,114
Select Committee on Benghazi,HSBG,null,null,3.0,,2017-01-03,J000289,114
Select Committee on Benghazi,HSBG,null,null,3.0,2014-05-09,2015-01-03,J000289,113
Committee on the Judiciary,HSJU,null,null,12.0,2013-01-04,2015-01-03,J000289,113
Committee on Oversight and Reform,HSGO,null,null,6.0,2013-01-04,2015-01-03,J000289,113
Committee on the Judiciary,HSJU,null,null,14.0,2011-01-18,2013-01-03,J000289,112
Committee on Oversight and Reform,HSGO,null,null,7.0,2011-01-18,2013-01-03,J000289,112
Committee on the Budget,HSBU,null,null,12.0,2009-01-09,2011-01-03,J000289,111
Committee on the Judiciary,HSJU,null,null,12.0,2009-01-09,2011-01-03,J000289,111
Committee on Oversight and Reform,HSGO,null,null,10.0,2009-01-09,2011-01-03,J000289,111
Committee on Oversight and Reform,HSGO,null,null,18.0,2007-05-10,2009-01-03,J000289,110
Committee on the Judiciary,HSJU,null,null,17.0,2007-01-10,2009-01-03,J000289,110
Committee on Small Business,HSSM,null,null,15.0,2007-01-10,2009-01-03,J000289,110
Committee on Energy and Commerce,HSIF,minority,Member,25.0,,2023-01-03,J000302,117
Committee on Small Business,HSSM,minority,Member,9.0,2019-01-24,2021-01-03,J000302,116
Committee on Homeland Security,HSHM,minority,Member,9.0,2019-01-23,2021-01-03,J000302,116
Committee on Ethics,HSSO,minority,Member,3.0,,2023-01-03,J000295,117
Committee on Appropriations,HSAP,minority,Member,13.0,,2023-01-03,J000295,117
Committee on Appropriations,HSAP,minority,Member,14.0,2019-01-23,2021-01-03,J000295,116
Committee on Appropriations,HSAP,majority,Member,18.0,,2019-01-03,J000295,115
Committee on Appropriations,HSAP,null,null,20.0,,2017-01-03,J000295,114
Committee on Appropriations,HSAP,null,null,24.0,2013-01-04,2015-01-03,J000295,113
Committee on Armed Services,HSAS,majority,Member,26.0,,2023-01-03,K000396,117
Committee on Transportation and Infrastructure,HSPW,majority,Member,33.0,,2023-01-03,K000396,117
Committee on Veterans' Affairs,HSVR,majority,Member,15.0,,2023-01-03,K000009,117
Committee on Appropriations,HSAP,majority,Member,2.0,,2023-01-03,K000009,117
Committee on Appropriations,HSAP,majority,Member,2.0,2019-01-15,2021-01-03,K000009,116
Committee on Appropriations,HSAP,minority,Member,2.0,,2019-01-03,K000009,115
Committee on Appropriations,HSAP,null,null,2.0,,2017-01-03,K000009,114
Committee on Appropriations,HSAP,null,null,2.0,2013-01-03,2015-01-03,K000009,113
Committee on the Budget,HSBU,null,null,3.0,2011-01-25,2013-01-03,K000009,112
Committee on Appropriations,HSAP,null,null,2.0,2011-01-11,2013-01-03,K000009,112
Committee on Oversight and Reform,HSGO,null,null,13.0,2009-04-30,2011-01-04,K000009,111
Committee on the Budget,HSBU,null,null,3.0,2009-01-21,2011-01-03,K000009,111
Committee on Appropriations,HSAP,null,null,4.0,2009-01-07,2011-01-03,K000009,111
Committee on the Budget,HSBU,null,null,8.0,2007-01-18,2009-01-03,K000009,110
Committee on Appropriations,HSAP,null,null,5.0,2007-01-04,2009-01-03,K000009,110
Committee on Homeland Security,HSHM,minority,Ranking Member,1.0,,2023-01-03,K000386,117
Committee on Transportation and Infrastructure,HSPW,minority,Member,9.0,,2023-01-03,K000386,117
Committee on Homeland Security,HSHM,minority,Member,4.0,2019-01-23,2021-01-03,K000386,116
Committee on Transportation and Infrastructure,HSPW,minority,Member,11.0,2019-01-23,2021-01-03,K000386,116
Committee on Homeland Security,HSHM,majority,Member,7.0,,2019-01-03,K000386,115
Committee on Transportation and Infrastructure,HSPW,majority,Member,19.0,,2019-01-03,K000386,115
Committee on Homeland Security,HSHM,null,null,11.0,,2017-01-03,K000386,114
Committee on Transportation and Infrastructure,HSPW,null,null,24.0,,2017-01-03,K000386,114
Committee on Armed Services,HSAS,majority,Member,14.0,,2023-01-03,K000375,117
Committee on Foreign Affairs,HSFA,majority,Member,7.0,,2023-01-03,K000375,117
Committee on Foreign Affairs,HSFA,majority,Member,8.0,2019-01-17,2021-01-03,K000375,116
Committee on Armed Services,HSAS,majority,Member,16.0,2019-01-15,2021-01-03,K000375,116
Committee on Foreign Affairs,HSFA,minority,Member,8.0,,2019-01-03,K000375,115
Committee on Homeland Security,HSHM,minority,Member,5.0,,2019-01-03,K000375,115
Committee on Foreign Affairs,HSFA,null,null,9.0,,2017-01-03,K000375,114
Committee on Homeland Security,HSHM,null,null,7.0,,2017-01-03,K000375,114
Committee on Foreign Affairs,HSFA,null,null,10.0,2013-01-03,2015-01-03,K000375,113
Committee on Homeland Security,HSHM,null,null,7.0,2013-01-03,2015-01-03,K000375,113
Committee on Small Business,HSSM,null,null,11.0,2011-01-26,2013-01-03,K000375,112
Committee on Foreign Affairs,HSFA,null,null,19.0,2011-01-19,2013-01-03,K000375,112
Committee on Homeland Security,HSHM,null,null,11.0,2011-01-19,2013-01-03,K000375,112
Committee on Oversight and Reform,HSGO,minority,Member,12.0,,2023-01-03,K000395,117
Committee on Education and Labor,HSED,minority,Member,11.0,,2023-01-03,K000395,117
Committee on Education and Labor,HSED,minority,Member,20.0,2019-07-10,2021-01-03,K000395,116
Committee on Oversight and Reform,HSGO,minority,Member,18.0,2019-07-10,2021-01-03,K000395,116
Committee on Energy and Commerce,HSIF,majority,Member,22.0,,2023-01-03,K000385,117
Committee on Oversight and Reform,HSGO,majority,Member,20.0,,2023-01-03,K000385,117
Committee on Oversight and Reform,HSGO,majority,Member,14.0,2019-01-23,2021-01-03,K000385,116
Committee on Energy and Commerce,HSIF,majority,Member,26.0,2019-01-15,2021-01-03,K000385,116
Committee on Foreign Affairs,HSFA,minority,Member,14.0,,2019-01-03,K000385,115
Committee on Oversight and Reform,HSGO,minority,Member,8.0,,2019-01-03,K000385,115
Committee on Foreign Affairs,HSFA,null,null,18.0,,2017-01-03,K000385,114
Committee on Oversight and Reform,HSGO,null,null,10.0,,2017-01-03,K000385,114
Committee on Oversight and Reform,HSGO,null,null,13.0,2013-04-16,2015-01-03,K000385,113
"Committee on Science, Space, and Technology",HSSY,null,null,18.0,2013-04-16,2015-01-03,K000385,113
Committee on Ways and Means,HSWM,minority,Member,6.0,,2023-01-03,K000376,117
Committee on Ways and Means,HSWM,minority,Member,7.0,,2021-01-03,K000376,116
Committee on Ways and Means,HSWM,majority,Member,13.0,,2019-01-03,K000376,115
Committee on Ways and Means,HSWM,null,null,17.0,,2017-01-03,K000376,114
Committee on Education and Labor,HSED,null,null,19.0,2014-05-29,2015-01-03,K000376,113
Committee on Ways and Means,HSWM,null,null,21.0,2013-01-04,2015-01-03,K000376,113
Committee on Education and Labor,HSED,null,null,23.0,2011-01-18,2013-01-03,K000376,112
Committee on Foreign Affairs,HSFA,null,null,20.0,2011-01-18,2013-01-03,K000376,112
Committee on Oversight and Reform,HSGO,null,null,23.0,2011-01-18,2013-01-03,K000376,112
Committee on Agriculture,HSAG,minority,Member,10.0,,2023-01-03,K000388,117
Committee on Armed Services,HSAS,minority,Member,12.0,,2023-01-03,K000388,117
Committee on the Budget,HSBU,minority,Member,2.0,,2023-01-03,K000388,117
Committee on Small Business,HSSM,minority,Member,3.0,2019-01-24,2019-09-25,K000388,116
Committee on Agriculture,HSAG,minority,Member,14.0,2019-01-23,2021-01-03,K000388,116
Committee on Armed Services,HSAS,minority,Member,18.0,2019-01-23,2021-01-03,K000388,116
Committee on Agriculture,HSAG,majority,Member,20.0,,2019-01-03,K000388,115
Committee on Armed Services,HSAS,majority,Member,28.0,,2019-01-03,K000388,115
Committee on Small Business,HSSM,majority,Member,7.0,,2019-01-03,K000388,115
Committee on Agriculture,HSAG,null,null,26.0,,2017-01-03,K000388,114
Committee on Small Business,HSSM,null,null,12.0,,2017-01-03,K000388,114
Committee on Agriculture,HSAG,majority,Member,18.0,,2023-01-03,K000389,117
Committee on Oversight and Reform,HSGO,majority,Member,8.0,,2023-01-03,K000389,117
Committee on Armed Services,HSAS,majority,Member,13.0,,2023-01-03,K000389,117
Committee on the Budget,HSBU,majority,Member,6.0,2019-01-24,2021-01-03,K000389,116
Committee on Oversight and Reform,HSGO,majority,Member,18.0,2019-01-23,2021-01-03,K000389,116
Committee on Armed Services,HSAS,majority,Member,15.0,2019-01-15,2021-01-03,K000389,116
Committee on Armed Services,HSAS,minority,Member,25.0,,2019-01-03,K000389,115
Committee on the Budget,HSBU,minority,Member,10.0,,2019-01-03,K000389,115
Committee on Ways and Means,HSWM,majority,Member,15.0,,2023-01-03,K000380,117
"Committee on Science, Space, and Technology",HSSY,majority,Member,20.0,,2023-01-03,K000380,117
Committee on the Budget,HSBU,majority,Member,8.0,,2023-01-03,K000380,117
Committee on the Budget,HSBU,majority,Member,11.0,2019-01-24,2021-01-03,K000380,116
Committee on Ways and Means,HSWM,majority,Member,16.0,2019-01-15,2021-01-03,K000380,116
Committee on Financial Services,HSBA,minority,Member,17.0,,2019-01-03,K000380,115
Committee on Financial Services,HSBA,null,null,20.0,,2017-01-03,K000380,114
Committee on the Budget,HSBU,null,null,17.0,2014-04-01,2015-01-03,K000380,113
Committee on Financial Services,HSBA,null,null,22.0,2013-01-03,2015-01-03,K000380,113
Committee on Appropriations,HSAP,majority,Member,14.0,,2023-01-03,K000381,117
Select Committee on the Modernization of Congress,HSMH,majority,Chair,1.0,,2023-01-03,K000381,117
Committee on Appropriations,HSAP,majority,Member,17.0,2019-01-15,2021-01-03,K000381,116
Select Committee on the Modernization of Congress,HSMH,majority,Chair,1.0,,2021-01-03,K000381,116
Committee on Appropriations,HSAP,minority,Member,17.0,,2019-01-03,K000381,115
Committee on Appropriations,HSAP,null,null,21.0,,2017-01-03,K000381,114
"Committee on Science, Space, and Technology",HSSY,null,null,12.0,2013-01-14,2015-01-03,K000381,113
Committee on Armed Services,HSAS,null,null,21.0,2013-01-03,2015-01-03,K000381,113
Committee on Armed Services,HSAS,majority,Member,16.0,,2023-01-03,K000394,117
Committee on Foreign Affairs,HSFA,majority,Member,21.0,,2023-01-03,K000394,117
Committee on Small Business,HSSM,majority,Member,14.0,,2023-01-03,K000394,117
Committee on Small Business,HSSM,majority,Member,4.0,2019-01-24,2021-01-03,K000394,116
Committee on Armed Services,HSAS,majority,Member,18.0,2019-01-15,2021-01-03,K000394,116
"Committee on Science, Space, and Technology",HSSY,minority,Member,13.0,,2023-01-03,K000397,117
Committee on Small Business,HSSM,minority,Member,8.0,,2023-01-03,K000397,117
Committee on Foreign Affairs,HSFA,minority,Member,23.0,,2023-01-03,K000397,117
Committee on Ways and Means,HSWM,majority,Member,6.0,,2023-01-03,K000188,117
Committee on Ways and Means,HSWM,majority,Member,7.0,2019-01-15,2021-01-03,K000188,116
Committee on Ways and Means,HSWM,minority,Member,8.0,,2019-01-03,K000188,115
Committee on Ways and Means,HSWM,null,null,11.0,,2017-01-03,K000188,114
Committee on Ways and Means,HSWM,null,null,11.0,2013-01-03,2015-01-03,K000188,113
Committee on Ways and Means,HSWM,null,null,12.0,2011-01-11,2013-01-03,K000188,112
Committee on Natural Resources,HSII,null,null,20.0,2009-01-21,2011-01-03,K000188,111
Committee on Ways and Means,HSWM,null,null,14.0,2009-01-07,2011-01-03,K000188,111
Committee on Natural Resources,HSII,null,null,20.0,2007-01-18,2009-01-03,K000188,110
Committee on Ways and Means,HSWM,null,null,17.0,2007-01-04,2009-01-03,K000188,110
Committee on Energy and Commerce,HSIF,minority,Member,8.0,,2023-01-03,K000378,117
Committee on Foreign Affairs,HSFA,minority,Member,7.0,,2023-01-03,K000378,117
Committee on Foreign Affairs,HSFA,minority,Member,7.0,2019-01-23,2021-01-03,K000378,116
Committee on Energy and Commerce,HSIF,minority,Member,11.0,2019-01-23,2021-01-03,K000378,116
Committee on Foreign Affairs,HSFA,majority,Member,17.0,,2019-01-03,K000378,115
Committee on Energy and Commerce,HSIF,majority,Member,15.0,,2019-01-03,K000378,115
Committee on Energy and Commerce,HSIF,null,null,19.0,,2017-01-03,K000378,114
Committee on Energy and Commerce,HSIF,null,null,25.0,2013-01-04,2015-01-03,K000378,113
Committee on Foreign Affairs,HSFA,null,null,12.0,2013-01-04,2015-01-03,K000378,113
Committee on Energy and Commerce,HSIF,null,null,30.0,2011-01-12,2013-01-03,K000378,112
Committee on Agriculture,HSAG,majority,Member,26.0,,2023-01-03,K000368,117
Committee on Appropriations,HSAP,majority,Member,26.0,,2023-01-03,K000368,117
Committee on Agriculture,HSAG,majority,Member,25.0,2019-01-17,2021-01-03,K000368,116
Committee on Appropriations,HSAP,majority,Member,29.0,2019-01-15,2021-01-03,K000368,116
Committee on Agriculture,HSAG,null,null,14.0,,2017-01-03,K000368,114
Committee on Transportation and Infrastructure,HSPW,null,null,18.0,,2017-01-03,K000368,114
