congress,chamber,title,short_title,state,party,leadership_role,fec_candidate_id,seniority,district,at_large,ocd_id,start_date,end_date,office,phone,fax,contact_form,cook_pvi,dw_nominate,ideal_point,next_election,total_votes,missed_votes,total_present,senate_class,state_rank,lis_id,bills_sponsored,bills_cosponsored,missed_votes_pct,votes_with_party_pct,votes_against_party_pct,memberId
108,Senate,"Senator, 2nd Class",Sen.,RI,D,null,,7,null,null,ocd-division/country:us/state:ri,2003-01-07,2005-01-03,null,null,null,null,null,null,null,2008,675.0,8.0,0.0,2,,S259,20.0,192.0,1.19,95.55,4.45,R000122
107,Senate,"Senator, 2nd Class",Sen.,RI,D,null,,5,null,null,ocd-division/country:us/state:ri,2001-01-03,2003-01-03,null,null,null,null,null,null,null,2002,633.0,3.0,0.0,2,,S259,33.0,187.0,0.47,94.68,5.32,R000122
106,Senate,"Senator, 2nd Class",Sen.,RI,D,null,,3,null,null,ocd-division/country:us/state:ri,1999-01-06,2001-01-03,null,null,null,null,null,null,null,2002,672.0,5.0,0.0,2,,S259,31.0,199.0,0.74,93.85,6.15,R000122
105,Senate,"Senator, 2nd Class",Sen.,RI,D,null,,1,null,null,ocd-division/country:us/state:ri,1997-01-07,1999-01-03,null,null,null,null,null,null,null,2002,612.0,2.0,0.0,2,,S259,17.0,131.0,0.33,94.67,5.33,R000122
104,House,Representative,Rep.,RI,D,null,,6,2,false,ocd-division/country:us/state:ri/cd:2,1995-01-04,1997-01-03,null,null,null,null,null,null,null,,1340.0,6.0,0.0,,,S259,9.0,113.0,0.45,92.42,8.85,R000122
103,House,Representative,Rep.,RI,D,null,,4,2,false,ocd-division/country:us/state:ri/cd:2,1993-01-05,1995-01-03,null,null,null,null,null,null,null,,1122.0,10.0,0.0,,,S259,16.0,214.0,0.89,93.77,5.58,R000122
102,House,Representative,Rep.,RI,D,null,,2,2,false,ocd-division/country:us/state:ri/cd:2,1991-01-03,1993-01-03,null,null,null,null,null,null,null,,933.0,9.0,0.0,,,S259,null,null,0.96,91.29,5.8,R000122
117,Senate,"Senator, 2nd Class",Sen.,ID,R,null,S8ID00092,13,null,null,ocd-division/country:us/state:id,2021-01-03,2023-01-03,483 Russell Senate Office Building,202-224-2752,null,http://www.risch.senate.gov/public/index.cfm?p=Email,null,0.552,null,2026,853.0,53.0,0.0,2,junior,S323,45.0,304.0,6.21,91.76,8.24,R000584
116,Senate,"Senator, 2nd Class",Sen.,ID,R,null,S8ID00092,11,null,null,ocd-division/country:us/state:id,2019-01-03,2021-01-03,483 Russell Senate Office Building,202-224-2752,202-224-2573,http://www.risch.senate.gov/public/index.cfm?p=Email,null,0.628,null,2020,717.0,18.0,0.0,2,junior,S323,29.0,225.0,2.51,96.83,3.17,R000584
115,Senate,"Senator, 2nd Class",Sen.,ID,R,null,S8ID00092,9,null,null,ocd-division/country:us/state:id,2017-01-03,2019-01-03,483 Russell Senate Office Building,202-224-2752,202-224-2573,http://www.risch.senate.gov/public/index.cfm?p=Email,null,0.636,null,2020,599.0,5.0,0.0,2,junior,S323,26.0,201.0,0.83,95.76,4.24,R000584
114,Senate,"Senator, 2nd Class",Sen.,ID,R,null,S8ID00092,7,null,null,ocd-division/country:us/state:id,2015-01-06,2017-01-03,null,null,null,null,null,0.635,null,2020,502.0,4.0,0.0,2,,S323,17.0,181.0,0.8,90.59,9.41,R000584
113,Senate,"Senator, 2nd Class",Sen.,ID,R,null,,5,null,null,ocd-division/country:us/state:id,2013-01-03,2015-01-02,null,null,null,null,null,0.635,1.560557666,2014,657.0,13.0,0.0,2,,S323,10.0,240.0,1.98,90.19,9.81,R000584
112,Senate,"Senator, 2nd Class",Sen.,ID,R,null,,3,null,null,ocd-division/country:us/state:id,2011-01-04,2013-01-03,null,null,null,null,null,0.635,null,2014,486.0,13.0,0.0,2,,S323,3.0,260.0,2.67,87.72,12.28,R000584
111,Senate,"Senator, 2nd Class",Sen.,ID,R,null,,1,null,null,ocd-division/country:us/state:id,2009-01-06,2011-01-03,null,null,null,null,null,null,null,2014,696.0,5.0,0.0,2,,S323,5.0,197.0,0.72,94.72,5.28,R000584
117,Senate,"Senator, 1st Class",Sen.,UT,R,null,S8UT00176,1,null,null,ocd-division/country:us/state:ut,2021-01-03,2023-01-03,124 Russell Senate Office Building,202-224-5251,null,https://www.romney.senate.gov/contact-senator-romney,null,null,null,2024,853.0,46.0,0.0,1,junior,S401,14.0,126.0,5.39,77.22,22.78,R000615
116,Senate,"Senator, 1st Class",Sen.,UT,R,null,S8UT00176,1,null,null,ocd-division/country:us/state:ut,2019-01-03,2021-01-03,124 Russell Senate Office Building,202-224-5251,null,https://www.romney.senate.gov/contact-senator-romney,null,null,null,2024,717.0,6.0,0.0,1,junior,S401,15.0,137.0,0.84,95.47,4.53,R000615
117,Senate,"Senator, 1st Class",Sen.,NV,D,null,H6NV03139,3,null,null,ocd-division/country:us/state:nv,2021-01-03,2023-01-03,144 Russell Senate Office Building,202-224-6244,null,https://www.rosen.senate.gov/contact_jacky,null,-0.284,null,2024,853.0,17.0,0.0,1,junior,S402,69.0,476.0,1.99,98.56,1.44,R000608
116,Senate,"Senator, 1st Class",Sen.,NV,D,null,H6NV03139,1,null,null,ocd-division/country:us/state:nv,2019-01-03,2021-01-03,144 Russell Senate Office Building,202-224-6244,null,https://www.rosen.senate.gov/contact_jacky,null,-0.286,null,2024,717.0,4.0,1.0,1,junior,S402,37.0,590.0,0.56,95.21,4.79,R000608
115,House,Representative,Rep.,NV,D,,S8NV00156,2,3,false,ocd-division/country:us/state:nv/cd:3,2017-01-03,2019-01-03,413 Cannon House Office Building,202-225-3252,null,null,null,-0.244,null,2018,1211.0,96.0,0.0,,,S402,21.0,467.0,7.93,91.44,8.56,R000608
117,Senate,"Senator, 2nd Class",Sen.,SD,R,null,S4SD00049,7,null,null,ocd-division/country:us/state:sd,2021-01-03,2023-01-03,502 Hart Senate Office Building,202-224-5842,null,https://www.rounds.senate.gov/contact/email-mike,null,0.373,null,2026,853.0,206.0,1.0,2,junior,S381,26.0,282.0,24.15,80.19,19.81,R000605
116,Senate,"Senator, 2nd Class",Sen.,SD,R,null,S4SD00049,5,null,null,ocd-division/country:us/state:sd,2019-01-03,2021-01-03,502 Hart Senate Office Building,202-224-5842,null,https://www.rounds.senate.gov/contact/email-mike,null,0.408,null,2020,717.0,90.0,0.0,2,junior,S381,40.0,296.0,12.55,97.59,2.41,R000605
115,Senate,"Senator, 2nd Class",Sen.,SD,R,null,S4SD00049,3,null,null,ocd-division/country:us/state:sd,2017-01-03,2019-01-03,502 Hart Senate Office Building,202-224-5842,null,https://www.rounds.senate.gov/contact/email-mike,null,0.392,null,2020,599.0,9.0,0.0,2,junior,S381,48.0,245.0,1.5,98.29,1.71,R000605
114,Senate,"Senator, 2nd Class",Sen.,SD,R,null,S4SD00049,1,null,null,ocd-division/country:us/state:sd,2015-01-06,2017-01-03,null,null,null,null,null,0.389,null,2020,502.0,7.0,0.0,2,,S381,26.0,163.0,1.39,93.22,6.78,R000605
117,Senate,"Senator, 3rd Class",Sen.,FL,R,null,S0FL00338,11,null,null,ocd-division/country:us/state:fl,2021-01-03,2023-01-03,284 Russell Senate Office Building,202-224-3041,202-228-0285,http://www.rubio.senate.gov/public/index.cfm/contact,null,0.607,null,2022,853.0,43.0,0.0,3,senior,S350,201.0,456.0,5.04,91.91,8.09,R000595
116,Senate,"Senator, 3rd Class",Sen.,FL,R,null,S0FL00338,9,null,null,ocd-division/country:us/state:fl,2019-01-03,2021-01-03,284 Russell Senate Office Building,202-224-3041,202-228-0285,http://www.rubio.senate.gov/public/index.cfm/contact,null,0.567,null,2022,717.0,36.0,0.0,3,senior,S350,130.0,437.0,5.02,97.04,2.96,R000595
115,Senate,"Senator, 3rd Class",Sen.,FL,R,null,S0FL00338,7,null,null,ocd-division/country:us/state:fl,2017-01-03,2019-01-03,284 Russell Senate Office Building,202-224-3041,202-228-0285,http://www.rubio.senate.gov/public/index.cfm/contact,null,0.578,null,2022,599.0,35.0,0.0,3,junior,S350,92.0,422.0,5.84,97.14,2.86,R000595
114,Senate,"Senator, 3rd Class",Sen.,FL,R,null,S0FL00338,5,null,null,ocd-division/country:us/state:fl,2015-01-06,2017-01-03,null,null,null,null,null,0.583,null,2016,502.0,157.0,0.0,3,,S350,68.0,250.0,31.27,90.59,9.41,R000595
113,Senate,"Senator, 3rd Class",Sen.,FL,R,null,,3,null,null,ocd-division/country:us/state:fl,2013-01-03,2015-01-03,null,null,null,null,null,0.583,1.056090204,2016,657.0,45.0,0.0,3,,S350,42.0,297.0,6.85,87.15,12.85,R000595
112,Senate,"Senator, 3rd Class",Sen.,FL,R,null,,1,null,null,ocd-division/country:us/state:fl,2011-01-05,2013-01-03,null,null,null,null,null,0.583,null,2016,486.0,32.0,0.0,3,,S350,28.0,277.0,6.58,87.19,12.81,R000595
117,Senate,"Senator, 1st Class",Sen.,VT,ID,null,H8VT01016,15,null,null,ocd-division/country:us/state:vt,2021-01-03,2023-01-03,332 Dirksen Senate Office Building,202-224-5141,null,http://www.sanders.senate.gov/contact/,null,-0.537,null,2024,853.0,81.0,0.0,1,junior,S313,34.0,407.0,9.5,94.16,5.84,S000033
116,Senate,"Senator, 1st Class",Sen.,VT,ID,null,H8VT01016,13,null,null,ocd-division/country:us/state:vt,2019-01-03,2021-01-03,332 Dirksen Senate Office Building,202-224-5141,null,http://www.sanders.senate.gov/contact/,null,-0.529,null,2024,717.0,411.0,1.0,1,junior,S313,36.0,523.0,57.32,80.73,19.27,S000033
115,Senate,"Senator, 1st Class",Sen.,VT,ID,null,S4VT00033,11,null,null,ocd-division/country:us/state:vt,2017-01-03,2019-01-03,332 Dirksen Building,202-224-5141,202-228-0776,null,null,-0.521,null,2018,599.0,15.0,1.0,1,junior,S313,31.0,316.0,2.5,80.9,19.1,S000033
114,Senate,"Senator, 1st Class",Sen.,VT,ID,null,S4VT00033,9,null,null,ocd-division/country:us/state:vt,2015-01-06,2017-01-03,null,null,null,null,null,-0.518,null,2018,502.0,143.0,0.0,1,,S313,30.0,188.0,28.49,90.91,9.09,S000033
113,Senate,"Senator, 1st Class",Sen.,VT,ID,null,,7,null,null,ocd-division/country:us/state:vt,2013-01-03,2015-01-02,null,null,null,null,null,-0.518,-0.750026832,2018,657.0,43.0,0.0,1,,S313,69.0,197.0,6.54,94.95,5.05,S000033
112,Senate,"Senator, 1st Class",Sen.,VT,ID,null,,5,null,null,ocd-division/country:us/state:vt,2011-01-04,2013-01-03,null,null,null,null,null,-0.518,null,2012,486.0,16.0,0.0,1,,S313,30.0,297.0,3.29,91.01,8.99,S000033
111,Senate,"Senator, 1st Class",Sen.,VT,ID,null,,3,null,null,ocd-division/country:us/state:vt,2009-01-06,2011-01-03,null,null,null,null,null,null,null,2012,696.0,9.0,0.0,1,,S313,37.0,309.0,1.29,94.29,5.71,S000033
110,Senate,"Senator, 1st Class",Sen.,VT,ID,null,,1,null,null,ocd-division/country:us/state:vt,2007-01-04,2009-01-03,null,null,null,null,null,null,null,2012,657.0,6.0,0.0,1,,S313,27.0,433.0,0.91,94.72,5.28,S000033
109,House,Representative,Rep.,VT,ID,null,,16,At-Large,true,ocd-division/country:us/state:vt/cd:1,2005-01-04,2007-01-03,null,null,null,null,null,null,null,,1214.0,52.0,0.0,,,S313,21.0,600.0,4.28,45.16,55.01,S000033
108,House,Representative,Rep.,VT,ID,null,,14,At-Large,true,ocd-division/country:us/state:vt/cd:1,2003-01-07,2005-01-03,null,null,null,null,null,null,null,,1221.0,69.0,3.0,,,S313,17.0,538.0,5.65,45.66,54.51,S000033
107,House,Representative,Rep.,VT,ID,null,,12,At-Large,true,ocd-division/country:us/state:vt/cd:1,2001-01-03,2003-01-03,null,null,null,null,null,null,null,,996.0,58.0,3.0,,,S313,24.0,563.0,5.82,50.32,50.11,S000033
106,House,Representative,Rep.,VT,ID,null,,10,At-Large,true,ocd-division/country:us/state:vt/cd:1,1999-01-06,2001-01-03,null,null,null,null,null,null,null,,1214.0,47.0,3.0,,,S313,18.0,472.0,3.87,46.68,53.49,S000033
105,House,Representative,Rep.,VT,ID,null,,8,At-Large,true,ocd-division/country:us/state:vt/cd:1,1997-01-07,1999-01-03,null,null,null,null,null,null,null,,1187.0,38.0,0.0,,,S313,26.0,372.0,3.2,42.37,58.17,S000033
104,House,Representative,Rep.,VT,ID,null,,6,At-Large,true,ocd-division/country:us/state:vt/cd:1,1995-01-04,1997-01-03,null,null,null,null,null,null,null,,1340.0,33.0,2.0,,,S313,30.0,238.0,2.46,27.11,73.92,S000033
103,House,Representative,Rep.,VT,ID,null,,4,At-Large,true,ocd-division/country:us/state:vt/cd:1,1993-01-05,1995-01-03,null,null,null,null,null,null,null,,1122.0,55.0,0.0,,,S313,15.0,450.0,4.9,30.67,68.65,S000033
102,House,Representative,Rep.,VT,ID,null,,2,At-Large,true,ocd-division/country:us/state:vt/cd:1,1991-01-03,1993-01-03,null,null,null,null,null,null,null,,933.0,70.0,0.0,,,S313,null,null,7.5,35.28,61.62,S000033
117,Senate,"Senator, 2nd Class",Sen.,NE,R,null,S4NE00090,7,null,null,ocd-division/country:us/state:ne,2021-01-03,2023-01-03,107 Russell Senate Office Building,202-224-4224,null,http://www.sasse.senate.gov/public/index.cfm/email-ben,null,0.673,null,2026,853.0,35.0,0.0,2,junior,S382,12.0,111.0,4.1,92.73,7.27,S001197
116,Senate,"Senator, 2nd Class",Sen.,NE,R,null,S4NE00090,5,null,null,ocd-division/country:us/state:ne,2019-01-03,2021-01-03,107 Russell Senate Office Building,202-224-4224,null,http://www.sasse.senate.gov/public/index.cfm/email-ben,null,0.788,null,2020,717.0,22.0,0.0,2,junior,S382,15.0,111.0,3.07,94.79,5.21,S001197
115,Senate,"Senator, 2nd Class",Sen.,NE,R,null,S4NE00090,3,null,null,ocd-division/country:us/state:ne,2017-01-03,2019-01-03,136 Russell Senate Office Building,202-224-4224,null,http://www.sasse.senate.gov/public/index.cfm/email-ben,null,0.811,null,2020,599.0,6.0,0.0,2,junior,S382,15.0,85.0,1.0,94.9,5.1,S001197
114,Senate,"Senator, 2nd Class",Sen.,NE,R,null,S4NE00090,1,null,null,ocd-division/country:us/state:ne,2015-01-06,2017-01-03,null,null,null,null,null,0.813,null,2020,502.0,5.0,0.0,2,,S382,10.0,68.0,1.0,85.25,14.75,S001197
117,Senate,"Senator, 3rd Class",Sen.,HI,D,null,S4HI00136,9,null,null,ocd-division/country:us/state:hi,2021-01-03,2023-01-03,722 Hart Senate Office Building,202-224-3934,202-228-1153,https://www.schatz.senate.gov/contact,null,-0.444,null,2022,853.0,12.0,0.0,3,senior,S353,72.0,249.0,1.41,99.29,0.71,S001194
116,Senate,"Senator, 3rd Class",Sen.,HI,D,null,S4HI00136,7,null,null,ocd-division/country:us/state:hi,2019-01-03,2021-01-03,722 Hart Senate Office Building,202-224-3934,202-228-1153,https://www.schatz.senate.gov/contact,null,-0.443,null,2022,717.0,36.0,1.0,3,senior,S353,75.0,326.0,5.02,88.52,11.48,S001194
115,Senate,"Senator, 3rd Class",Sen.,HI,D,null,S4HI00136,5,null,null,ocd-division/country:us/state:hi,2017-01-03,2019-01-03,722 Hart Senate Office Building,202-224-3934,202-228-1153,https://www.schatz.senate.gov/contact,null,-0.415,null,2022,599.0,12.0,1.0,3,senior,S353,44.0,261.0,2.0,92.39,7.61,S001194
114,Senate,"Senator, 3rd Class",Sen.,HI,D,null,H6HI02244,3,null,null,ocd-division/country:us/state:hi,2015-01-06,2017-01-03,null,null,null,null,null,-0.401,null,2016,502.0,3.0,0.0,3,,S353,35.0,225.0,0.6,97.35,2.65,S001194
113,Senate,"Senator, 3rd Class",Sen.,HI,D,null,,1,null,null,ocd-division/country:us/state:hi,2013-01-03,2015-01-03,null,null,null,null,null,-0.401,-1.449544895,2014,657.0,50.0,0.0,3,,S353,25.0,337.0,7.61,99.34,0.66,S001194
112,Senate,"Senator, 3rd Class",Sen.,HI,D,null,,1,null,null,ocd-division/country:us/state:hi,2012-12-27,2013-01-03,null,null,null,null,null,-0.401,null,,20.0,0.0,0.0,3,,S353,0.0,0.0,0.0,95.0,5.0,S001194
117,Senate,"Senator, 3rd Class",Sen.,NY,D,Senate Majority Leader,S8NY00082,23,null,null,ocd-division/country:us/state:ny,2021-01-03,2023-01-03,322 Hart Senate Office Building,202-224-6542,202-228-3027,https://www.schumer.senate.gov/contact/email-chuck,null,-0.357,null,2022,853.0,14.0,0.0,3,senior,S270,53.0,150.0,1.64,98.45,1.55,S000148
116,Senate,"Senator, 3rd Class",Sen.,NY,D,Senate Minority Leader,S8NY00082,21,null,null,ocd-division/country:us/state:ny,2019-01-03,2021-01-03,322 Hart Senate Office Building,202-224-6542,202-228-3027,https://www.schumer.senate.gov/contact/email-chuck,null,-0.359,null,2022,717.0,0.0,1.0,3,senior,S270,39.0,293.0,0.0,87.73,12.27,S000148
115,Senate,"Senator, 3rd Class",Sen.,NY,D,Minority Leader,S8NY00082,19,null,null,ocd-division/country:us/state:ny,2017-01-03,2019-01-03,322 Hart Senate Office Building,202-224-6542,202-228-3027,https://www.schumer.senate.gov/contact/email-chuck,null,-0.351,null,2022,599.0,1.0,1.0,3,senior,S270,16.0,224.0,0.17,95.25,4.75,S000148
114,Senate,"Senator, 3rd Class",Sen.,NY,D,null,H0NY16010,17,null,null,ocd-division/country:us/state:ny,2015-01-06,2017-01-03,null,null,null,null,null,-0.351,null,2016,502.0,2.0,0.0,3,,S270,58.0,298.0,0.4,96.95,3.05,S000148
113,Senate,"Senator, 3rd Class",Sen.,NY,D,null,,15,null,null,ocd-division/country:us/state:ny,2013-01-03,2015-01-02,null,null,null,null,null,-0.351,-1.33952614,2016,657.0,1.0,0.0,3,,S270,67.0,316.0,0.15,98.93,1.07,S000148
112,Senate,"Senator, 3rd Class",Sen.,NY,D,null,,13,null,null,ocd-division/country:us/state:ny,2011-01-04,2013-01-03,null,null,null,null,null,-0.351,null,2016,486.0,9.0,1.0,3,,S270,149.0,324.0,1.85,97.47,2.53,S000148
111,Senate,"Senator, 3rd Class",Sen.,NY,D,null,,11,null,null,ocd-division/country:us/state:ny,2009-01-06,2011-01-03,null,null,null,null,null,null,null,2010,696.0,3.0,0.0,3,,S270,148.0,400.0,0.43,98.84,1.16,S000148
110,Senate,"Senator, 3rd Class",Sen.,NY,D,null,,9,null,null,ocd-division/country:us/state:ny,2007-01-04,2009-01-03,null,null,null,null,null,null,null,2010,657.0,13.0,0.0,3,,S270,113.0,472.0,1.98,97.02,2.98,S000148
109,Senate,"Senator, 3rd Class",Sen.,NY,D,null,,7,null,null,ocd-division/country:us/state:ny,2005-01-04,2007-01-03,null,null,null,null,null,null,null,2010,645.0,8.0,0.0,3,,S270,98.0,355.0,1.24,93.78,6.22,S000148
108,Senate,"Senator, 3rd Class",Sen.,NY,D,null,,5,null,null,ocd-division/country:us/state:ny,2003-01-07,2005-01-03,null,null,null,null,null,null,null,2004,675.0,4.0,0.0,3,,S270,66.0,383.0,0.59,95.57,4.43,S000148
107,Senate,"Senator, 3rd Class",Sen.,NY,D,null,,3,null,null,ocd-division/country:us/state:ny,2001-01-03,2003-01-03,null,null,null,null,null,null,null,2004,633.0,11.0,0.0,3,,S270,56.0,348.0,1.74,93.3,6.7,S000148
106,Senate,"Senator, 3rd Class",Sen.,NY,D,null,,1,null,null,ocd-division/country:us/state:ny,1999-01-06,2001-01-03,null,null,null,null,null,null,null,2004,672.0,7.0,0.0,3,,S270,67.0,327.0,1.04,95.49,4.51,S000148
105,House,Representative,Rep.,NY,D,null,,18,9,false,ocd-division/country:us/state:ny/cd:9,1997-01-07,1999-01-03,null,null,null,null,null,null,null,,1187.0,178.0,0.0,,,S270,50.0,274.0,15.0,92.38,8.03,S000148
104,House,Representative,Rep.,NY,D,null,,16,9,false,ocd-division/country:us/state:ny/cd:9,1995-01-04,1997-01-03,null,null,null,null,null,null,null,,1340.0,79.0,0.0,,,S270,53.0,175.0,5.9,90.34,10.82,S000148
103,House,Representative,Rep.,NY,D,null,,14,9,false,ocd-division/country:us/state:ny/cd:9,1993-01-05,1995-01-03,null,null,null,null,null,null,null,,1122.0,62.0,0.0,,,S270,59.0,300.0,5.53,92.77,6.45,S000148
102,House,Representative,Rep.,NY,D,null,,12,10,false,ocd-division/country:us/state:ny/cd:10,1991-01-03,1993-01-03,null,null,null,null,null,null,null,,933.0,44.0,0.0,,,S270,null,null,4.72,90.27,6.84,S000148
101,House,Representative,Rep.,NY,D,null,,10,10,false,ocd-division/country:us/state:ny/cd:10,1989-01-03,1991-01-03,null,null,null,null,null,null,null,,null,null,null,,,S270,null,null,null,null,null,S000148
100,House,Representative,Rep.,NY,D,null,,8,10,false,ocd-division/country:us/state:ny/cd:10,1987-01-06,1989-01-03,null,null,null,null,null,null,null,,null,null,null,,,S270,null,null,null,null,null,S000148
